H,train_accuracy_mean,train_sensitivity_mean,train_specificity_mean,train_precision_mean,test_accuracy_mean,test_sensitivity_mean,test_specificity_mean,test_precision_mean
0.01,0.987301587,0.980952381,0.99047619,0.980952381,0.940740741,0.911111111,0.955555556,0.915535445
0.06,0.980952381,0.971428571,0.985714286,0.97167756,0.940740741,0.911111111,0.955555556,0.915535445
0.11,0.974603175,0.961904762,0.980952381,0.962871963,0.940740741,0.911111111,0.955555556,0.915535445
0.16,0.974603175,0.961904762,0.980952381,0.962871963,0.97037037,0.955555556,0.977777778,0.955555556
0.21,0.974603175,0.961904762,0.980952381,0.962871963,0.97037037,0.955555556,0.977777778,0.955555556
0.26,0.974603175,0.961904762,0.980952381,0.962871963,0.97037037,0.955555556,0.977777778,0.955555556
0.31,0.974603175,0.961904762,0.980952381,0.962871963,0.97037037,0.955555556,0.977777778,0.955555556
0.36,0.974603175,0.961904762,0.980952381,0.962871963,0.97037037,0.955555556,0.977777778,0.955555556
0.41,0.974603175,0.961904762,0.980952381,0.962871963,0.955555556,0.933333333,0.966666667,0.93452381
0.46,0.974603175,0.961904762,0.980952381,0.962871963,0.955555556,0.933333333,0.966666667,0.93452381
0.51,0.980952381,0.971428571,0.985714286,0.97167756,0.955555556,0.933333333,0.966666667,0.93452381
0.56,0.974603175,0.961904762,0.980952381,0.961904762,0.955555556,0.933333333,0.966666667,0.93452381
0.61,0.968253968,0.952380952,0.976190476,0.952614379,0.955555556,0.933333333,0.966666667,0.93452381
0.66,0.968253968,0.952380952,0.976190476,0.952614379,0.955555556,0.933333333,0.966666667,0.93452381
0.71,0.968253968,0.952380952,0.976190476,0.952614379,0.940740741,0.911111111,0.955555556,0.915535445
0.76,0.968253968,0.952380952,0.976190476,0.952614379,0.940740741,0.911111111,0.955555556,0.915535445
0.81,0.955555556,0.933333333,0.966666667,0.933551198,0.940740741,0.911111111,0.955555556,0.915535445
0.86,0.955555556,0.933333333,0.966666667,0.933551198,0.940740741,0.911111111,0.955555556,0.915535445
0.91,0.955555556,0.933333333,0.966666667,0.933551198,0.940740741,0.911111111,0.955555556,0.915535445
0.96,0.955555556,0.933333333,0.966666667,0.933551198,0.940740741,0.911111111,0.955555556,0.915535445
